Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,				Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5PZZ3G5djpINln9xcMxcmB,"the center’s falling out","Negative Spaces","Poppy",2024-11-15,145032,52,,2024-11-17T03:45:32Z,"alt z","Sumerian Records",0.277,0.947,8,-3.108,1,0.27,0.0000786,0.18,0.389,0.234,132.39,4
78GAQZUGa11v6f8ozhGqbM,"new way out","Negative Spaces","Poppy",2024-11-15,202909,48,,2024-11-17T03:45:30Z,"alt z","Sumerian Records",0.586,0.91,7,-3.425,1,0.0737,0.000187,0.000734,0.0593,0.478,108.896,4
2GjJQVcb6Ymzepa0DwjxcZ,"Derecho","Windswept","Photay",2024-09-20,265011,24,,2024-11-17T03:45:19Z,"indie jazz,wonky","Mexican Summer",0.554,0.502,1,-11.775,1,0.0536,0.147,0.941,0.35,0.0703,192.008,4
1zFcviPH7wI4HKwcvNQXqH,"Air Lock","Windswept","Photay",2024-09-20,240400,23,,2024-11-17T03:45:16Z,"indie jazz,wonky","Mexican Summer",0.295,0.555,9,-11.78,0,0.0434,0.804,0.845,0.381,0.425,170.051,4
3OH5k0TMtBTlLGMfpoIinH,"Global Wind Trade","Windswept","Photay",2024-09-20,321290,21,,2024-11-17T03:45:12Z,"indie jazz,wonky","Mexican Summer",0.733,0.468,8,-12.214,0,0.0611,0.127,0.823,0.118,0.564,114.995,4
3xU8borLa9PlSz5enTNrR6,"Low Pressure System","Windswept","Photay",2024-09-20,269183,27,,2024-11-17T03:45:09Z,"indie jazz,wonky","Mexican Summer",0.792,0.493,1,-12.89,1,0.0733,0.562,0.874,0.097,0.347,104.958,1
7LcmaUhdM5Ro8Qy1kCdH8K,"Thermal Loop","Windswept","Photay",2024-09-20,257074,20,,2024-11-17T03:45:08Z,"indie jazz,wonky","Mexican Summer",0.625,0.268,9,-14.725,0,0.0423,0.871,0.918,0.0807,0.501,170.028,4
7y686IXITtjQurXh9dvBTr,"The Skull Burned","The Skull Burned","Frontierer",2024-11-07,196813,32,,2024-11-09T16:31:46Z,"chaotic hardcore,edinburgh metal,mathcore,scottish metal","Frontierer",0.103,0.952,8,-2.371,1,0.107,0.00000974,0.956,0.565,0.134,178.45,4
2AAS4s9e5oa7rxhYOwjZb3,"Devour The Children","Devour The Children","Molotov Solution",2024-11-01,296885,34,,2024-11-09T15:59:07Z,"deathcore,melodic metalcore,progressive deathcore","Molotov Solution",0.334,0.977,9,-4.717,1,0.128,0.000118,0.00000982,0.162,0.0409,139.658,4
2ff9wKmxcahul3Hf0pGo3k,"Closer","Wave Machine","Makari",2024-03-08,258250,36,,2024-11-05T17:10:39Z,"progressive post-hardcore,swancore","Independent",0.513,0.913,3,-2.954,1,0.0563,0.000477,0,0.0972,0.465,120.07,4
2UayNJbSUOyPc3Pj4iclkT,"Crybaby","Violent Delights","Galleons,Eidola",2024-02-09,215346,41,,2024-11-05T17:08:07Z,"swancore,progressive post-hardcore","Famined Records",0.19,0.961,7,-5.502,1,0.152,0.00114,0.0000613,0.0944,0.0976,169.934,4
7p0HdYQ6IdbmNyoS650iN7,"Pyre","Destrier","Agent Fresco",2015-08-07,213786,28,,2024-10-24T01:03:08Z,"icelandic indie,icelandic rock","Long Branch Records",0.634,0.831,11,-5.508,0,0.0503,0.0327,0.00183,0.0876,0.842,107.967,4
4uGGL2yZGoPrIvLrwO8m4U,"Dark Water","Destrier","Agent Fresco",2015-08-07,218333,32,,2024-10-23T00:45:27Z,"icelandic indie,icelandic rock","Long Branch Records",0.387,0.915,11,-4.295,0,0.0755,0.0477,0.00959,0.113,0.513,128.975,4
2mwxR4w5DUFw0ubTTbYaEo,"Tributary","View With A Room","Julian Lage",2022-09-16,347240,32,,2024-10-03T03:43:28Z,"contemporary jazz,jazz guitar","Blue Note Records",0.557,0.173,7,-16.243,1,0.0339,0.957,0.929,0.0904,0.207,62.002,4
7BQVhWw9GR1Up3eKQrYFlI,"Nocturne","Arclight","Julian Lage",2016-03-11,199015,39,,2024-10-03T03:43:24Z,"contemporary jazz,jazz guitar","Mack Avenue",0.486,0.48,1,-8.643,1,0.0262,0.772,0.802,0.09,0.215,107.282,4
3yJIHyPa3J6SadRkhp5QsZ,"Blind Side Sonny","Blind Side Sonny","Coheed and Cambria",2024-10-02,142853,48,,2024-10-02T14:42:14Z,"modern alternative rock","Coheed and Cambria",0.351,0.988,0,-2.437,1,0.343,0.000101,0.0396,0.467,0.467,170.138,4
6MrfKGnxHAcWhIta38sliG,"aftermath/afterthought","analysis paralysis","Four Year Strong",2024-08-09,146746,41,,2024-09-16T23:23:13Z,"anthem emo,easycore,neon pop punk,new england emo,pop punk,screamo,worcester ma indie","Pure Noise Records",0.608,0.699,0,-4.569,1,0.0593,0.0000299,0.000698,0.292,0.246,122.487,4
1Dioc5wCu4sUXTjwQv4Cuw,"Straight From The Heart","Straight From The Heart","Dance Gavin Dance",2024-05-09,214964,45,,2024-09-16T23:23:03Z,"pixie,sacramento indie,screamo,swancore","Rise Records",0.352,0.99,7,-2.098,1,0.143,0.000604,0,0.67,0.31,199.946,4
16rvPyhsZXi5K6j5yYe3AS,"Speed Demon","Speed Demon","Dance Gavin Dance",2024-05-10,190861,48,,2024-09-16T23:23:02Z,"pixie,sacramento indie,screamo,swancore","Rise Records",0.463,0.981,7,-2.783,0,0.0947,0.000819,0,0.221,0.526,146.966,4
